Time: 08:50:23.444651| SYSTEM   | Connect events done
Time: 09:01:15.822381| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:15.846383| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:15.923385| SENSOR   | Servo voile value received: 150.0
Time: 09:01:15.947858| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:16.024229| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:16.051415| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:16.125290| SENSOR   | Servo safran value received: 103.0
Time: 09:01:16.661052| DEBUG    | func: 9| mode: 1| size: 13| data: update (115s)
Time: 09:01:16.729500| LOG      | [INFO]: received: update (115s)
Time: 09:01:16.762391| DEBUG    | func: 6| mode: 1| size: 4| data: 296.9
Time: 09:01:16.830141| SENSOR   | Yaw value received: 296.9
Time: 09:01:16.832091| SYSTEM   | Changed compass orientation
Time: 09:01:16.865015| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:16.933534| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:16.968050| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:17.034564| SENSOR   | Servo safran value received: 200.0
Time: 09:01:17.070456| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:17.135341| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:17.173132| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:17.235980| SENSOR   | Servo voile value received: 113.0
Time: 09:01:17.784380| DEBUG    | func: 9| mode: 1| size: 13| data: update (116s)
Time: 09:01:17.839991| LOG      | [INFO]: received: update (116s)
Time: 09:01:17.886125| DEBUG    | func: 6| mode: 1| size: 4| data: 296.5
Time: 09:01:17.941041| SENSOR   | Yaw value received: 296.5
Time: 09:01:17.943066| SYSTEM   | Changed compass orientation
Time: 09:01:17.990794| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:18.044379| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:18.093602| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:18.145278| SENSOR   | Servo voile value received: 150.0
Time: 09:01:18.196788| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:18.245675| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:18.299767| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:18.347038| SENSOR   | Servo safran value received: 103.0
Time: 09:01:18.908760| DEBUG    | func: 9| mode: 1| size: 13| data: update (117s)
Time: 09:01:18.949559| LOG      | [INFO]: received: update (117s)
Time: 09:01:19.011491| DEBUG    | func: 6| mode: 1| size: 4| data: 296.5
Time: 09:01:19.050564| SENSOR   | Yaw value received: 296.5
Time: 09:01:19.052660| SYSTEM   | Changed compass orientation
Time: 09:01:19.114174| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:19.153644| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:19.217547| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:19.254077| SENSOR   | Servo safran value received: 200.0
Time: 09:01:19.319567| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:19.355377| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:19.422994| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:19.456055| SENSOR   | Servo voile value received: 113.0
Time: 09:01:20.028464| DEBUG    | func: 9| mode: 1| size: 13| data: update (118s)
Time: 09:01:20.059283| LOG      | [INFO]: received: update (118s)
Time: 09:01:20.131773| DEBUG    | func: 6| mode: 1| size: 4| data: 296.5
Time: 09:01:20.160280| SENSOR   | Yaw value received: 296.5
Time: 09:01:20.163365| SYSTEM   | Changed compass orientation
Time: 09:01:20.235003| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:20.263845| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:20.337072| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:20.364624| SENSOR   | Servo voile value received: 150.0
Time: 09:01:20.439729| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:20.465389| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:20.542782| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:20.566158| SENSOR   | Servo safran value received: 103.0
Time: 09:01:21.152950| DEBUG    | func: 9| mode: 1| size: 13| data: update (119s)
Time: 09:01:21.170967| LOG      | [INFO]: received: update (119s)
Time: 09:01:21.255052| DEBUG    | func: 6| mode: 1| size: 4| data: 296.5
Time: 09:01:21.271895| SENSOR   | Yaw value received: 296.5
Time: 09:01:21.273504| SYSTEM   | Changed compass orientation
Time: 09:01:21.358107| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:21.375135| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:21.461469| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:21.475539| SENSOR   | Servo safran value received: 200.0
Time: 09:01:21.564348| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:21.575971| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:21.667908| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:21.676611| SENSOR   | Servo voile value received: 113.0
Time: 09:01:22.277476| DEBUG    | func: 9| mode: 1| size: 13| data: update (120s)
Time: 09:01:22.279651| LOG      | [INFO]: received: update (120s)
Time: 09:01:22.380407| DEBUG    | func: 6| mode: 1| size: 4| data: 296.5
Time: 09:01:22.481100| SENSOR   | Yaw value received: 296.5
Time: 09:01:22.483721| SYSTEM   | Changed compass orientation
Time: 09:01:22.483721| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:22.583808| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:22.584837| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:22.684905| SENSOR   | Servo voile value received: 150.0
Time: 09:01:22.686904| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:22.785729| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:22.787724| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:22.886590| SENSOR   | Servo safran value received: 103.0
Time: 09:01:23.299635| DEBUG    | func: 9| mode: 1| size: 13| data: update (121s)
Time: 09:01:23.389931| LOG      | [INFO]: received: update (121s)
Time: 09:01:23.402634| DEBUG    | func: 6| mode: 1| size: 4| data: 296.5
Time: 09:01:23.491157| SENSOR   | Yaw value received: 296.5
Time: 09:01:23.492744| SYSTEM   | Changed compass orientation
Time: 09:01:23.505530| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:23.594079| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:23.608685| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:23.694900| SENSOR   | Servo safran value received: 200.0
Time: 09:01:23.712359| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:23.795661| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:23.815569| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:23.896721| SENSOR   | Servo voile value received: 113.0
Time: 09:01:24.425372| DEBUG    | func: 9| mode: 1| size: 13| data: update (122s)
Time: 09:01:24.501297| LOG      | [INFO]: received: update (122s)
Time: 09:01:24.527180| DEBUG    | func: 6| mode: 1| size: 4| data: 296.1
Time: 09:01:24.602390| SENSOR   | Yaw value received: 296.1
Time: 09:01:24.604414| SYSTEM   | Changed compass orientation
Time: 09:01:24.630800| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:24.705819| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:24.734352| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:24.806835| SENSOR   | Servo voile value received: 150.0
Time: 09:01:24.837033| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:24.907588| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:24.940389| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:25.008688| SENSOR   | Servo safran value received: 103.0
Time: 09:01:25.550416| DEBUG    | func: 9| mode: 1| size: 13| data: update (124s)
Time: 09:01:25.613681| LOG      | [INFO]: received: update (124s)
Time: 09:01:25.651729| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:25.714827| SENSOR   | Yaw value received: 295.9
Time: 09:01:25.716852| SYSTEM   | Changed compass orientation
Time: 09:01:25.755066| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:25.818019| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:25.857412| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:25.919074| SENSOR   | Servo safran value received: 200.0
Time: 09:01:25.960794| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:26.020067| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:26.063657| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:26.121893| SENSOR   | Servo voile value received: 113.0
Time: 09:01:26.672090| DEBUG    | func: 9| mode: 1| size: 13| data: update (125s)
Time: 09:01:26.725062| LOG      | [INFO]: received: update (125s)
Time: 09:01:26.774384| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:26.826022| SENSOR   | Yaw value received: 295.9
Time: 09:01:26.828047| SYSTEM   | Changed compass orientation
Time: 09:01:26.876941| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:26.929193| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:26.979652| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:27.030326| SENSOR   | Servo voile value received: 150.0
Time: 09:01:27.082821| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:27.131091| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:27.184786| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:27.232228| SENSOR   | Servo safran value received: 103.0
Time: 09:01:27.794919| DEBUG    | func: 9| mode: 1| size: 13| data: update (126s)
Time: 09:01:27.837039| LOG      | [INFO]: received: update (126s)
Time: 09:01:27.897449| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:27.938333| SENSOR   | Yaw value received: 295.9
Time: 09:01:27.940915| SYSTEM   | Changed compass orientation
Time: 09:01:27.999953| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:28.041315| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:28.101947| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:28.142132| SENSOR   | Servo safran value received: 200.0
Time: 09:01:28.205808| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:28.242597| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:28.308846| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:28.343449| SENSOR   | Servo voile value received: 113.0
Time: 09:01:28.918296| DEBUG    | func: 9| mode: 1| size: 13| data: update (127s)
Time: 09:01:28.948096| LOG      | [INFO]: received: update (127s)
Time: 09:01:29.020763| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:29.048837| SENSOR   | Yaw value received: 295.9
Time: 09:01:29.050835| SYSTEM   | Changed compass orientation
Time: 09:01:29.124538| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:29.151980| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:29.227513| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:29.252562| SENSOR   | Servo voile value received: 150.0
Time: 09:01:29.330649| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:29.353267| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:29.431782| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:29.454469| SENSOR   | Servo safran value received: 103.0
Time: 09:01:30.041100| DEBUG    | func: 9| mode: 1| size: 13| data: update (128s)
Time: 09:01:30.059193| LOG      | [INFO]: received: update (128s)
Time: 09:01:30.143468| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:30.160064| SENSOR   | Yaw value received: 295.9
Time: 09:01:30.162086| SYSTEM   | Changed compass orientation
Time: 09:01:30.246997| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:30.263127| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:30.351048| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:30.364019| SENSOR   | Servo safran value received: 200.0
Time: 09:01:30.453151| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:30.465135| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:30.557074| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:30.566208| SENSOR   | Servo voile value received: 113.0
Time: 09:01:31.064876| DEBUG    | func: 9| mode: 1| size: 13| data: update (129s)
Time: 09:01:31.069838| LOG      | [INFO]: received: update (129s)
Time: 09:01:31.168008| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:31.170522| SENSOR   | Yaw value received: 295.9
Time: 09:01:31.173541| SYSTEM   | Changed compass orientation
Time: 09:01:31.269357| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:31.274713| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:31.372350| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:31.375365| SENSOR   | Servo voile value received: 150.0
Time: 09:01:31.474036| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:31.476212| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:31.576726| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:31.677675| SENSOR   | Servo safran value received: 103.0
Time: 09:01:32.185214| DEBUG    | func: 9| mode: 1| size: 13| data: update (130s)
Time: 09:01:32.281931| LOG      | [INFO]: received: update (130s)
Time: 09:01:32.286925| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:32.383065| SENSOR   | Yaw value received: 295.9
Time: 09:01:32.385090| SYSTEM   | Changed compass orientation
Time: 09:01:32.390681| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:32.485883| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:32.493809| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:32.587287| SENSOR   | Servo safran value received: 200.0
Time: 09:01:32.597019| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:32.688007| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:32.699515| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:32.789054| SENSOR   | Servo voile value received: 113.0
Time: 09:01:33.308380| DEBUG    | func: 9| mode: 1| size: 13| data: update (131s)
Time: 09:01:33.393263| LOG      | [INFO]: received: update (131s)
Time: 09:01:33.411710| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:33.494337| SENSOR   | Yaw value received: 295.9
Time: 09:01:33.496362| SYSTEM   | Changed compass orientation
Time: 09:01:33.514447| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:33.597931| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:33.616091| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:33.698994| SENSOR   | Servo voile value received: 150.0
Time: 09:01:33.718907| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:33.799487| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:33.821557| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:33.900428| SENSOR   | Servo safran value received: 103.0
Time: 09:01:34.432180| DEBUG    | func: 9| mode: 1| size: 13| data: update (132s)
Time: 09:01:34.504668| LOG      | [INFO]: received: update (132s)
Time: 09:01:34.534762| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:34.605541| SENSOR   | Yaw value received: 295.9
Time: 09:01:34.607566| SYSTEM   | Changed compass orientation
Time: 09:01:34.635845| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:34.708802| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:34.738706| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:34.809856| SENSOR   | Servo safran value received: 200.0
Time: 09:01:34.841794| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:34.910633| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:34.945039| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:35.011785| SENSOR   | Servo voile value received: 113.0
Time: 09:01:35.553870| DEBUG    | func: 9| mode: 1| size: 13| data: update (134s)
Time: 09:01:35.616088| LOG      | [INFO]: received: update (134s)
Time: 09:01:35.656081| DEBUG    | func: 6| mode: 1| size: 4| data: 296.0
Time: 09:01:35.716806| SENSOR   | Yaw value received: 296.0
Time: 09:01:35.719798| SYSTEM   | Changed compass orientation
Time: 09:01:35.758912| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:35.820440| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:35.862047| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:35.921831| SENSOR   | Servo voile value received: 150.0
Time: 09:01:35.965017| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:36.022396| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:36.067767| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:36.123502| SENSOR   | Servo safran value received: 103.0
Time: 09:01:36.678696| DEBUG    | func: 9| mode: 1| size: 13| data: update (135s)
Time: 09:01:36.728114| LOG      | [INFO]: received: update (135s)
Time: 09:01:36.781522| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:36.829212| SENSOR   | Yaw value received: 295.9
Time: 09:01:36.831209| SYSTEM   | Changed compass orientation
Time: 09:01:36.884331| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:36.932327| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:36.986260| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:37.033457| SENSOR   | Servo safran value received: 200.0
Time: 09:01:37.089452| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:37.134264| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:37.191560| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:37.235335| SENSOR   | Servo voile value received: 113.0
Time: 09:01:37.711697| DEBUG    | func: 9| mode: 1| size: 13| data: update (136s)
Time: 09:01:37.739972| LOG      | [INFO]: received: update (136s)
Time: 09:01:37.813126| DEBUG    | func: 6| mode: 1| size: 4| data: 296.0
Time: 09:01:37.840382| SENSOR   | Yaw value received: 296.0
Time: 09:01:37.842398| SYSTEM   | Changed compass orientation
Time: 09:01:37.916757| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:37.943358| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:38.019748| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:38.044442| SENSOR   | Servo voile value received: 150.0
Time: 09:01:38.122470| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:38.145198| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:38.225634| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:38.246013| SENSOR   | Servo safran value received: 103.0
Time: 09:01:38.833709| DEBUG    | func: 9| mode: 1| size: 13| data: update (137s)
Time: 09:01:38.850250| LOG      | [INFO]: received: update (137s)
Time: 09:01:38.936427| DEBUG    | func: 6| mode: 1| size: 4| data: 296.0
Time: 09:01:38.951000| SENSOR   | Yaw value received: 296.0
Time: 09:01:38.952997| SYSTEM   | Changed compass orientation
Time: 09:01:39.040097| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:39.054287| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:39.143183| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:39.155183| SENSOR   | Servo safran value received: 200.0
Time: 09:01:39.246131| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:39.255773| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:39.349344| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:39.356824| SENSOR   | Servo voile value received: 113.0
Time: 09:01:39.959041| DEBUG    | func: 9| mode: 1| size: 13| data: update (138s)
Time: 09:01:39.961362| LOG      | [INFO]: received: update (138s)
Time: 09:01:40.060719| DEBUG    | func: 6| mode: 1| size: 4| data: 296.0
Time: 09:01:40.062752| SENSOR   | Yaw value received: 296.0
Time: 09:01:40.064711| SYSTEM   | Changed compass orientation
Time: 09:01:40.164614| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:40.166612| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:40.268081| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:40.367854| SENSOR   | Servo voile value received: 150.0
Time: 09:01:40.370011| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:40.468842| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:40.473679| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:40.569385| SENSOR   | Servo safran value received: 103.0
Time: 09:01:41.084001| DEBUG    | func: 9| mode: 1| size: 13| data: update (139s)
Time: 09:01:41.172605| LOG      | [INFO]: received: update (139s)
Time: 09:01:41.185869| DEBUG    | func: 6| mode: 1| size: 4| data: 296.0
Time: 09:01:41.273635| SENSOR   | Yaw value received: 296.0
Time: 09:01:41.275632| SYSTEM   | Changed compass orientation
Time: 09:01:41.288149| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:41.376700| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:41.391520| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:41.477247| SENSOR   | Servo safran value received: 200.0
Time: 09:01:41.494722| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:41.578030| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:41.596973| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:41.679193| SENSOR   | Servo voile value received: 113.0
Time: 09:01:42.206387| DEBUG    | func: 9| mode: 1| size: 13| data: update (140s)
Time: 09:01:42.283530| LOG      | [INFO]: received: update (140s)
Time: 09:01:42.308986| DEBUG    | func: 6| mode: 1| size: 4| data: 295.9
Time: 09:01:42.384559| SENSOR   | Yaw value received: 295.9
Time: 09:01:42.386558| SYSTEM   | Changed compass orientation
Time: 09:01:42.411674| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:01:42.488126| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:01:42.514804| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:01:42.589116| SENSOR   | Servo voile value received: 150.0
Time: 09:01:42.617599| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:01:42.689853| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:01:42.719425| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:01:42.790888| SENSOR   | Servo safran value received: 103.0
Time: 09:01:43.330519| DEBUG    | func: 9| mode: 1| size: 13| data: update (141s)
Time: 09:01:43.394747| LOG      | [INFO]: received: update (141s)
Time: 09:01:43.432630| DEBUG    | func: 6| mode: 1| size: 4| data: 295.5
Time: 09:01:43.495741| SENSOR   | Yaw value received: 295.5
Time: 09:01:43.497739| SYSTEM   | Changed compass orientation
Time: 09:01:43.535005| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:01:43.598686| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:01:43.636392| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:01:43.699398| SENSOR   | Servo safran value received: 200.0
Time: 09:01:43.739974| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:01:43.799951| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:01:43.842722| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:01:43.900788| SENSOR   | Servo voile value received: 113.0
Time: 09:01:44.450558| DEBUG    | func: 9| mode: 1| size: 13| data: update (142s)
Time: 09:01:44.504269| LOG      | [INFO]: received: update (142s)
Time: 09:01:44.553185| DEBUG    | func: 6| mode: 1| size: 4| data: 295.5
